Response,Via,Screen name,Created At
Race,pollev.com/micahhysong136,User: Web_41b8a,2024-03-25 15:40:28
Male Hispanic Spanish was my first language Young (<24),pollev.com/micahhysong136,User: Web_03888,2024-03-25 15:26:31
Female,pollev.com/micahhysong136,User: Web_41b8a,2024-03-25 15:26:27
black,pollev.com/micahhysong136,User: Web_cc303,2024-03-25 15:26:26
Male,pollev.com/micahhysong136,User: Web_98d38,2024-03-25 15:26:25
Woman,pollev.com/micahhysong136,User: Web_05b09,2024-03-25 15:26:25
Woman,pollev.com/micahhysong136,User: Web_c4a07,2024-03-25 15:26:24
Woman,pollev.com/micahhysong136,User: Web_9d21e,2024-03-25 15:26:24
Woman,pollev.com/micahhysong136,User: Web_d4723,2024-03-25 15:26:23
Male,pollev.com/micahhysong136,User: Web_90dc3,2024-03-25 15:26:23
"Inclusive: cis, straight, female,",pollev.com/micahhysong136,User: Web_aa3d4,2024-03-25 15:26:23
White,pollev.com/micahhysong136,User: Web_4a864,2024-03-25 15:26:22
Bisexual,pollev.com/micahhysong136,User: Web_a280f,2024-03-25 15:26:22
Woman,pollev.com/micahhysong136,User: Web_22b74,2024-03-25 15:26:22
Straight,pollev.com/micahhysong136,User: Web_9d21e,2024-03-25 15:26:21
"African, International,",pollev.com/micahhysong136,User: Web_9a9c0,2024-03-25 15:26:21
Chinese,pollev.com/micahhysong136,User: Web_7358e,2024-03-25 15:26:20
Woman,pollev.com/micahhysong136,User: Web_de0af,2024-03-25 15:26:20
Big cheese,pollev.com/micahhysong136,User: Web_1ebe2,2024-03-25 15:26:20
Heteronormative,pollev.com/micahhysong136,User: Web_41b8a,2024-03-25 15:26:19
hispanic/latino,pollev.com/micahhysong136,User: Web_2984b,2024-03-25 15:26:18
Cis/het,pollev.com/micahhysong136,User: Web_98d38,2024-03-25 15:26:17
American,pollev.com/micahhysong136,User: Web_4a864,2024-03-25 15:26:15
Cis/het,pollev.com/micahhysong136,User: Web_98d38,2024-03-25 15:26:09
woman,pollev.com/micahhysong136,User: Web_2984b,2024-03-25 15:26:08
White,pollev.com/micahhysong136,User: Web_41b8a,2024-03-25 15:26:06
Woman of color,pollev.com/micahhysong136,User: Web_c91fb,2024-03-25 15:26:05
"African American,",pollev.com/micahhysong136,User: Web_f7a9d,2024-03-25 15:26:01
Female,pollev.com/micahhysong136,User: Web_da20e,2024-03-25 15:25:53
Male Latino,pollev.com/micahhysong136,User: Web_03888,2024-03-25 15:25:52
African,pollev.com/micahhysong136,User: Web_9a9c0,2024-03-25 15:25:51
Extrovert,pollev.com/micahhysong136,User: Web_98d38,2024-03-25 15:25:51
Straight,pollev.com/micahhysong136,User: Web_90dc3,2024-03-25 15:25:50
Straight,pollev.com/micahhysong136,User: Web_cc303,2024-03-25 15:25:50
Ambivert,pollev.com/micahhysong136,User: Web_c91fb,2024-03-25 15:25:48
Familiarity with research techniques,pollev.com/micahhysong136,User: Web_98d38,2024-03-25 15:25:39
