Response,Via,Screen name,Created At
advocate for people,pollev.com/micahhysong136,User: Web_32970,2024-03-25 15:57:31
Friendliness and approachability,pollev.com/micahhysong136,User: Web_9d21e,2024-03-25 15:57:27
Color-blind friendly palettes,pollev.com/micahhysong136,User: Web_05b09,2024-03-25 15:56:58
"Communicating effectively with members of the lab and if they are open, learning their background as well",pollev.com/micahhysong136,User: Web_f7a9d,2024-03-25 15:56:57
Big cheese loves all,pollev.com/micahhysong136,User: Web_1ebe2,2024-03-25 15:56:50
Be respectful,pollev.com/micahhysong136,User: Web_7358e,2024-03-25 15:56:48
Avoid idioms that lab members' who's first language is not English may not understand,pollev.com/micahhysong136,User: Web_4a864,2024-03-25 15:56:46
Open to new ideas and opinions,pollev.com/micahhysong136,User: Web_aa3d4,2024-03-25 15:56:42
Identity-First,pollev.com/micahhysong136,User: Web_9a9c0,2024-03-25 15:56:39
Having variety of hours for lab activities,pollev.com/micahhysong136,User: Web_e439c,2024-03-25 15:56:38
gently correct non-inclusive language,pollev.com/micahhysong136,User: Web_a280f,2024-03-25 15:56:37
"Respectful language, considering all identities, inclusivity statements/workshops",pollev.com/micahhysong136,User: Web_6822e,2024-03-25 15:56:35
Inclusive language,pollev.com/micahhysong136,User: Web_91f6e,2024-03-25 15:56:33
flexibility,pollev.com/micahhysong136,User: Web_89b37,2024-03-25 15:56:32
Try to consider restrictions when planning lab dinners or events,pollev.com/micahhysong136,User: Web_1b344,2024-03-25 15:56:28
"Spend more time listening to others, and learning about their experiences.",pollev.com/micahhysong136,User: Web_03888,2024-03-25 15:56:25
Receptiveness,pollev.com/micahhysong136,User: Web_317c2,2024-03-25 15:56:25
Don't judge,pollev.com/micahhysong136,User: Web_e7f14,2024-03-25 15:56:23
Inviting everyone,pollev.com/micahhysong136,User: Web_da20e,2024-03-25 15:56:16
Make efforts to talk to everyone in the lab on a daily basis,pollev.com/micahhysong136,User: Web_98d38,2024-03-25 15:56:15
Being open to new ideas or ways of thinking,pollev.com/micahhysong136,User: Web_41b8a,2024-03-25 15:56:14
inclusive language,pollev.com/micahhysong136,User: Web_25764,2024-03-25 15:56:12
Speak up for others,pollev.com/micahhysong136,User: Web_2984b,2024-03-25 15:56:12
Better infrastructure,pollev.com/micahhysong136,User: Web_99869,2024-03-25 15:56:11
Have everyone introduce their pronouns,pollev.com/micahhysong136,User: Web_e439c,2024-03-25 15:56:10
Be supportive to everyone,pollev.com/micahhysong136,User: Web_aa3d4,2024-03-25 15:56:10
Extend and invite.,pollev.com/micahhysong136,User: Web_574c4,2024-03-25 15:56:10
Invite everyone,pollev.com/micahhysong136,User: Web_90dc3,2024-03-25 15:56:08
Include everyone in lab activities,pollev.com/micahhysong136,User: Web_e7f14,2024-03-25 15:56:07
Diversity statement,pollev.com/micahhysong136,User: Web_c91fb,2024-03-25 15:56:06
Positive body language,pollev.com/micahhysong136,User: Web_8306d,2024-03-25 15:56:06
Active listening,pollev.com/micahhysong136,User: Web_b86f8,2024-03-25 15:56:03
Active listening,pollev.com/micahhysong136,User: Web_d46d8,2024-03-25 15:56:03
Family friendly events,pollev.com/micahhysong136,User: Web_99869,2024-03-25 15:56:01
Not assuming,pollev.com/micahhysong136,User: Web_de0af,2024-03-25 15:55:59
